adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0.0
2746.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2017-09-15,,0.0,Beans (red) - Retail (KG),2241.0,Mingkaman,235.0,15.0,1.0,2241_78_15_5,5.0,KG,1505433600.0,2017.0
2754.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2017-10-15,,0.0,Beans (red) - Retail (KG),1384.0,Aweil (Town),245.0,15.0,1.0,1384_78_15_5,5.0,KG,1508025600.0,2017.0
2746.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2017-11-15,,0.0,Beans (red) - Retail (KG),2241.0,Mingkaman,250.0,15.0,1.0,2241_78_15_5,5.0,KG,1510704000.0,2017.0
2768.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2017-12-15,,0.0,Beans (red) - Retail (KG),2239.0,Yambio,200.0,15.0,1.0,2239_78_15_5,5.0,KG,1513296000.0,2017.0
2748.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2018-01-15,,0.0,Beans (red) - Retail (KG),1388.0,Konyo Konyo,235.0,15.0,1.0,1388_78_15_5,5.0,KG,1515974400.0,2018.0
2746.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2018-03-15,,0.0,Beans (red) - Retail (KG),2241.0,Mingkaman,350.0,15.0,1.0,2241_78_15_5,5.0,KG,1521072000.0,2018.0
2746.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2018-04-15,,0.0,Beans (red) - Retail (KG),2241.0,Mingkaman,413.0,15.0,1.0,2241_78_15_5,5.0,KG,1523750400.0,2018.0
2746.0,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2018-08-15,,0.0,Beans (red) - Retail (KG),1390.0,Rumbek,413.0,15.0,1.0,1390_78_15_5,5.0,KG,1534291200.0,2018.0
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2013-01-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2013-02-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2013-03-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
2748.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2013-04-15,,0.0,Cassava (dry) - Retail (3.5 KG),1388.0,Konyo Konyo,10.0,15.0,1.0,1388_290_15_47,47.0,3.5 KG,1365984000.0,2013.0
2748.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2013-05-15,,0.0,Cassava (dry) - Retail (3.5 KG),1388.0,Konyo Konyo,10.0,15.0,1.0,1388_290_15_47,47.0,3.5 KG,1368576000.0,2013.0
2748.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2013-06-15,,0.0,Cassava (dry) - Retail (3.5 KG),1388.0,Konyo Konyo,11.0,15.0,1.0,1388_290_15_47,47.0,3.5 KG,1371254400.0,2013.0
